movie_id,company_id
15645,3094
19548,9
99704,146598
99374,21
23073,4173
91865,4856
30669,368
30669,37844
30669,2188
18299,146438
18299,4928
89597,41308
21200,694
21200,635
21200,591
21200,4722
21200,4723
40689,3324
40689,214
58777,1711
58777,310
58777,104
133,2401
41080,58472
81774,51304
81774,28391
81774,51305
81774,7110
81774,26899
10887,2620
77352,93134
77352,93135
77352,45
74723,215371
74723,1804
73282,104585
61759,201
61759,169855
47634,5822
61652,227387
91733,20561
47633,16198
8665,763
8665,11371
8665,20344
8665,23861
8665,23863
8665,114038
8665,3467
11068,12917
11068,174
62214,8601
66279,16434
17990,7110
17990,72363
17990,72362
17990,7541
17990,469
29478,5
45379,539
71444,5650
71444,13066
71444,13065
94241,10096
94241,60
89337,4544
11201,23807
11201,6904
83436,6612
66978,5798
96126,1432
73158,8440
70148,17415
43770,72343
43770,72344
14266,93671
14266,93712
14266,89700
16318,3966
16318,3967
16318,3491
39455,14197
39455,19692
33734,14154
33734,167489
33734,5
62044,10102
44038,294568
28304,3468
11490,1926
11490,2250
11490,792
11490,2695
11490,94
44118,50934
44118,50935
44118,50936
62234,17590
62234,17591
62234,1728
41063,28762
97272,4808
97272,52105
97272,2353
44205,16466
44205,5921
24356,14738
24356,288
24356,14739
24356,14737
33947,4294
676,9195
676,130
10853,81480
10853,10437
10853,101
14369,431
14369,158
14369,9195
14369,1171
79043,28699
79043,27124
88863,285
88863,11015
57109,25003
46594,25065
10140,711
10140,10221
10140,79503
12775,1183
12775,6139
11216,45693
11216,7110
11216,155418
11216,356
11216,185850
2896,880
39350,42894
39350,42889
67988,50983
67988,4708
59833,174
4256,10958
4256,7405
97630,13184
97630,20344
97630,211726
67552,11973
67552,1639
67552,12726
67552,84534
26852,25
52306,65943
23452,3041
23452,2883
23452,55914
23452,1194
23452,3034
23452,1778
10444,1787
73523,124
69495,1843
7548,2267
7548,2268
7548,2130
73953,112548
62132,44717
62132,4233
79929,487
9437,4
9437,11661
9437,903
13737,793
13737,7694
13737,6852
13737,7981
10751,2105
85430,39820
28816,4870
28816,6735
28816,1246
28816,52759
28816,911
51656,60
51656,10580
37796,50458
55608,42673
82188,6258
38116,5680
64870,3166
91702,96622
11837,5016
11837,47264
70555,10563
70555,44507
70555,1131
70555,2076
70555,1787
28704,203484
28704,4090
28704,39483
28704,7988
28704,2644
39232,10330
33813,6
25198,28864
25198,48611
40548,68392
48350,13947
65653,10726
44945,65129
44945,925
44945,1020
24795,175
24795,2
64033,18064
64033,102855
11306,97
11306,10153
11589,3057
11589,5940
11589,21
20029,15352
20029,4867
54493,3472
54493,822
40437,8136
6984,19016
30518,4667
30518,128847
30518,11725
45082,13631
53817,5111
91556,41
91556,36897
38461,25
41268,3903
31547,4639
40978,876
40978,6060
40978,1444
73448,5563
76037,11860
86235,98499
43672,5798
52520,3287
52520,126
52520,7738
52520,7740
39638,5788
71997,6228
2216,602
71670,17837
71670,11341
71670,1633
12534,45347
96683,23225
85374,6608
30639,16210
62978,75848
62978,8451
62978,20550
28831,48279
68648,149332
58785,6574
44854,75144
44854,82959
44854,201895
75515,7870
76144,47
76144,18624
76144,208490
72562,86094
92,37058
92,8490
28375,27434
7987,329
78390,238592
60103,20521
60103,193252
60103,3159
15310,538
15310,79077
26977,4614
27720,468
63052,4396
1838,76
84591,8298
69583,11852
62977,7101
95977,174
15418,52206
15418,93258
15418,7380
57639,5
57639,3166
90800,15653
17452,3324
17452,3325
50269,1242
72616,157119
72616,10845
2325,5283
2325,25125
2325,25126
2325,1039
2325,5630
85799,4262
67602,5
67602,3166
20333,7429
21571,2212
21571,226767
43215,1506
43215,12077
52376,16614
83721,28013
83721,5548
83721,30148
83721,8250
83721,122289
46849,38616
46849,38617
46849,38618
46849,5113
46849,1607
46849,38619
99889,81787
60228,90303
36228,81550
65820,7840
53769,10330
56172,12529
